3270.000    0.00936 3270.000    0.00493 3270.000    0.00276 3270.000    0.00425 3270.000    0.00200 3270.000    0.01148 3270.000    0.00248 3270.000    0.00594 3270.000    0.00560 3270.000   -0.00219 3270.000    0.00381 3270.000    0.00341 3270.000   -0.00747 3270.000   -0.00004 3270.000    0.00243 3270.000    0.00743 3270.000   -0.00461 3270.000    0.00046 3270.000   -0.00264 3270.000   -0.00245
3270.100    0.01176 3270.100    0.00147 3270.100    0.00419 3270.100    0.00510 3270.100    0.01226 3270.100   -0.01250 3270.100    0.00443 3270.100    0.00673 3270.100    0.01523 3270.100   -0.00356 3270.100    0.00701 3270.100   -0.00365 3270.100   -0.00800 3270.100   -0.00121 3270.100   -0.00178 3270.100    0.00154 3270.100    0.00353 3270.100   -0.00479 3270.100   -0.00116 3270.100    0.00170
3270.200    0.01974 3270.200    0.00125 3270.200   -0.00331 3270.200   -0.00008 3270.200    0.00371 3270.200   -0.02344 3270.200    0.00260 3270.200    0.00325 3270.200   -0.00336 3270.200    0.00077 3270.200    0.00363 3270.200   -0.00644 3270.200   -0.00646 3270.200    0.00406 3270.200   -0.00063 3270.200    0.00278 3270.200   -0.00144 3270.200   -0.00057 3270.200   -0.00349 3270.200    0.00177
3270.300    0.02127 3270.300    0.01104 3270.300    0.00461 3270.300   -0.00981 3270.300    0.01593 3270.300   -0.00037 3270.300    0.00001 3270.300   -0.00248 3270.300    0.00317 3270.300   -0.00398 3270.300    0.00615 3270.300   -0.00258 3270.300   -0.00260 3270.300    0.00588 3270.300   -0.00481 3270.300   -0.00293 3270.300   -0.00198 3270.300   -0.00232 3270.300   -0.00336 3270.300    0.00281
3270.500    0.02478 3270.500   -0.00553 3270.500    0.00706 3270.500   -0.00801 3270.500    0.00200 3270.500   -0.00173 3270.500    0.00537 3270.500    0.00909 3270.500    0.00313 3270.500   -0.00736 3270.500    0.00151 3270.500   -0.00238 3270.500    0.00021 3270.500    0.00351 3270.500   -0.00503 3270.500    0.00191 3270.500    0.00385 3270.500   -0.00349 3270.500    0.00180 3270.500   -0.00079
3270.600    0.00012 3270.600   -0.00801 3270.600   -0.00776 3270.600   -0.00019 3270.600   -0.00665 3270.600   -0.01180 3270.600    0.00447 3270.600   -0.00020 3270.600    0.00544 3270.600    0.00147 3270.600    0.00024 3270.600   -0.00279 3270.600   -0.00302 3270.600   -0.00138 3270.600   -0.00231 3270.600    0.00261 3270.600    0.00433 3270.600    0.00288 3270.600   -0.00459 3270.600   -0.00008
3270.700   -0.00219 3270.700   -0.00826 3270.700   -0.00438 3270.700    0.00467 3270.700   -0.02409 3270.700   -0.00177 3270.700    0.00451 3270.700    0.01160 3270.700   -0.00030 3270.700    0.00684 3270.700    0.00083 3270.700   -0.00784 3270.700   -0.00593 3270.700    0.00516 3270.700    0.00078 3270.700   -0.00153 3270.700    0.00683 3270.700   -0.00384 3270.700   -0.00051 3270.700   -0.00078
3270.800   -0.00001 3270.800   -0.00578 3270.800   -0.00129 3270.800    0.02217 3270.800   -0.00217 3270.800    0.00692 3270.800    0.00099 3270.800    0.00411 3270.800    0.00011 3270.800    0.00695 3270.800   -0.00693 3270.800    0.00231 3270.800    0.01499 3270.800    0.00227 3270.800    0.00177 3270.800    0.00377 3270.800    0.00106 3270.800   -0.00232 3270.800    0.00254 3270.800   -0.00079
3270.900    0.00880 3270.900    0.00083 3270.900   -0.00136 3270.900    0.00108 3270.900    0.01311 3270.900    0.00059 3270.900    0.00027 3270.900   -0.00537 3270.900   -0.00423 3270.900    0.00414 3270.900   -0.01054 3270.900    0.00465 3270.900    0.01335 3270.900   -0.00024 3270.900    0.00069 3270.900    0.00363 3270.900   -0.00663 3270.900   -0.00183 3270.900   -0.00141 3270.900   -0.00146
3271.000    0.00022 3271.000   -0.00324 3271.000   -0.00151 3271.000   -0.02525 3271.000    0.00617 3271.000   -0.00484 3271.000   -0.00016 3271.000   -0.00469 3271.000   -0.00257 3271.000    0.00954 3271.000    0.00205 3271.000    0.00945 3271.000    0.00917 3271.000   -0.00372 3271.000   -0.00184 3271.000    0.00247 3271.000   -0.00387 3271.000    0.00193 3271.000    0.00288 3271.000    0.00136
3271.200   -0.00607 3271.200    0.00801 3271.200   -0.00118 3271.200   -0.01044 3271.200    0.00326 3271.200   -0.00314 3271.200   -0.00874 3271.200    0.00104 3271.200   -0.00803 3271.200    0.00217 3271.200   -0.00052 3271.200    0.00625 3271.200    0.01192 3271.200   -0.00090 3271.200   -0.00310 3271.200    0.00278 3271.200   -0.00403 3271.200    0.00155 3271.200    0.00063 3271.200    0.00423
3271.300    0.00009 3271.300   -0.01708 3271.300   -0.00545 3271.300   -0.00902 3271.300    0.01402 3271.300    0.00278 3271.300    0.00248 3271.300   -0.00136 3271.300   -0.00216 3271.300    0.01112 3271.300    0.00723 3271.300    0.00083 3271.300    0.00763 3271.300   -0.00159 3271.300   -0.00076 3271.300    0.00999 3271.300   -0.01035 3271.300   -0.00232 3271.300   -0.00029 3271.300    0.00353
3271.400    0.01208 3271.400   -0.01298 3271.400    0.00056 3271.400    0.00874 3271.400    0.00798 3271.400    0.00170 3271.400    0.01034 3271.400   -0.00230 3271.400    0.00271 3271.400    0.00915 3271.400    0.00245 3271.400   -0.00299 3271.400    0.01160 3271.400   -0.00417 3271.400    0.00105 3271.400    0.00504 3271.400   -0.00307 3271.400    0.00253 3271.400    0.00173 3271.400   -0.00198
3271.500    0.01672 3271.500    0.00438 3271.500    0.00537 3271.500   -0.02519 3271.500    0.02312 3271.500   -0.00803 3271.500    0.01595 3271.500    0.00782 3271.500   -0.00774 3271.500    0.00364 3271.500   -0.00431 3271.500   -0.00073 3271.500    0.00366 3271.500   -0.00272 3271.500   -0.00145 3271.500    0.00140 3271.500   -0.00532 3271.500   -0.00183 3271.500    0.00167 3271.500   -0.00110
3271.600    0.00971 3271.600    0.00520 3271.600    0.00463 3271.600   -0.01890 3271.600    0.00341 3271.600   -0.01196 3271.600    0.00052 3271.600   -0.00544 3271.600    0.00556 3271.600   -0.00373 3271.600   -0.00896 3271.600   -0.00106 3271.600   -0.00143 3271.600   -0.00021 3271.600    0.00202 3271.600    0.00151 3271.600   -0.00086 3271.600   -0.00270 3271.600    0.00270 3271.600    0.00123
3271.700    0.00643 3271.700    0.00684 3271.700    0.01124 3271.700   -0.00156 3271.700   -0.00474 3271.700    0.00394 3271.700   -0.00012 3271.700    0.00632 3271.700    0.01081 3271.700    0.00453 3271.700   -0.00558 3271.700   -0.00147 3271.700   -0.00514 3271.700    0.00161 3271.700    0.00226 3271.700    0.00878 3271.700    0.00827 3271.700   -0.00019 3271.700   -0.00020 3271.700   -0.00045
